Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Daxberg - Eppenschlag, 13.314049,48.907756," 13.314049,48.907756",Gr 81/1,18:08 min,Gr 81/1,13.5 km,"Gr 81/1, Schöf 81/1",58:29 min,57:34 min,62:39 min,60:01 min,44:20 min,43:13 min,43:13 min,18:57 min,18:08 min,48.8 km,51.2 km,53.1 km,55.3 km,34.1 km,35.5 km,35.5 km,19.2 km,13.5 km
Eppenschlag - Eppenschlag, 13.299441229507527,48.88948455910265," 13.299441229507527,48.88948455910265",Schöf 81/1,13:08 min,Schöf 81/1,14.8 km,"Gr 81/1, Schöf 81/1",54:13 min,51:46 min,56:50 min,54:13 min,44:06 min,42:58 min,42:58 min,13:08 min,17:53 min,50.7 km,46.8 km,48.6 km,50.8 km,36.7 km,38.1 km,38.1 km,14.8 km,16.1 km
Fürstberg - Eppenschlag, 13.293222780057814,48.882432644459726," 13.293222780057814,48.882432644459726",Schöf 81/1,14:21 min,Schöf 81/1,15.4 km,"Gr 81/1, Schöf 81/1",55:26 min,52:58 min,58:03 min,55:26 min,45:54 min,44:46 min,44:46 min,14:21 min,19:15 min,51.3 km,47.3 km,49.2 km,51.4 km,37.7 km,39.1 km,39.1 km,15.4 km,17.9 km
Großmisselberg - Eppenschlag, 13.299513072425336,48.86922850765649," 13.299513072425336,48.86922850765649",Schöf 81/1,12:41 min,Schöf 81/1,12.9 km,"Gr 81/1, Schöf 81/1",53:46 min,51:18 min,56:23 min,53:46 min,46:49 min,45:41 min,45:41 min,12:41 min,17:35 min,48.8 km,44.9 km,46.7 km,48.9 km,39.2 km,40.6 km,40.6 km,12.9 km,15.4 km
Gschwendtnermühle - Eppenschlag, 13.304033759747592,48.893806237460765," 13.304033759747592,48.893806237460765",Schöf 81/1,13:57 min,Gr 81/1,15.4 km,"Gr 81/1, Schöf 81/1",55:02 min,52:35 min,57:39 min,55:02 min,43:07 min,41:59 min,41:59 min,13:57 min,16:55 min,51.3 km,47.4 km,49.3 km,51.5 km,36.0 km,37.4 km,37.4 km,15.5 km,15.4 km
Hohenthan - Eppenschlag, 13.30641,48.87492," 13.30641,48.87492",Schöf 81/1,13:07 min,Schöf 81/1,13.6 km,"Gr 81/1, Schöf 81/1",54:12 min,51:44 min,56:49 min,54:12 min,46:33 min,45:25 min,45:25 min,13:07 min,18:01 min,49.4 km,45.5 km,47.4 km,49.6 km,38.5 km,39.9 km,39.9 km,13.6 km,16.1 km
Hungerberg - Eppenschlag, 13.313970127150137,48.87869502494015," 13.313970127150137,48.87869502494015",Schöf 81/1,14:32 min,Gr 81/1,10.2 km,"Gr 81/1, Schöf 81/1",54:45 min,53:09 min,58:14 min,55:36 min,46:55 min,45:47 min,45:47 min,14:32 min,18:28 min,46.2 km,47.1 km,49.0 km,51.2 km,36.7 km,38.1 km,38.1 km,15.1 km,10.2 km
Hungermühle - Eppenschlag, 13.311804520033217,48.88434576913846," 13.311804520033217,48.88434576913846",Schöf 81/1,16:16 min,Gr 81/1,15.3 km,"Gr 81/1, Schöf 81/1",56:39 min,54:54 min,59:58 min,57:21 min,45:01 min,43:54 min,43:54 min,16:16 min,18:49 min,46.9 km,48.0 km,49.9 km,52.1 km,36.0 km,37.4 km,37.4 km,16.0 km,15.3 km
Kaltenberg - Eppenschlag, 13.27926,48.89420," 13.27926,48.89420",Schöf 81/1,14:06 min,Schöf 81/1,16.1 km,"Gr 81/1, Schöf 81/1",55:10 min,52:43 min,57:48 min,55:10 min,45:58 min,44:50 min,44:50 min,14:06 min,18:59 min,52.0 km,48.1 km,50.0 km,52.2 km,38.8 km,40.3 km,40.3 km,16.1 km,18.7 km
Kleinarmschlag - Eppenschlag, 13.289588798077276,48.872036381371984," 13.289588798077276,48.872036381371984",Schöf 81/1,14:30 min,Schöf 81/1,13.6 km,"Gr 81/1, Schöf 81/1",55:34 min,53:07 min,58:11 min,55:34 min,48:38 min,47:30 min,47:30 min,14:30 min,19:23 min,49.5 km,45.6 km,47.5 km,49.7 km,39.9 km,41.3 km,41.3 km,13.6 km,16.2 km
